Infant, Infant, 2, 45, 50, 60, 63, 2.5, 3.4, 8, 9.6, 0, 0
Toddler, Toddler, 4, 75, 80, 94, 97, 9.5, 13, 17.5, 20, 0, 0
Child, Child, 9, 110, 115, 130, 133, 22, 28, 39, 50, 0, 0
Preadolescent, Preteen, 12, 130, 135, 150, 153, 32, 40, 55, 70, 0, 1
Adolescent, Teenage, 19, 150, 155, 170, 173, 44, 50, 68, 85, 1, 3
Young-Adult, Adult, 26, 160, 165, 180, 183, 50, 60, 75, 90, 2, 4
Adult, Adult, 38, 160, 165, 180, 183, 50, 60, 75, 90, 3, 4
Middle-Aged, Middle-Aged, 42, 160, 165, 180, 183, 50, 60, 75, 90, 3, 4
Older-Adult, Adult, 69, 160, 165, 180, 183, 44, 55, 70, 80, 3, 4
Senior, Senior, 100000, 155, 160, 175, 178, 44, 55, 70, 80, 3, 4
